Namespace(batch_size=4, bits=8, checkpoint_iters=1000, clip=0.5, decoder_fuse_level=1, distance1=1, distance2=2, encoder_fuse_level=1, eval='../../data/eval', eval_batch_size=1, eval_iters=4500, eval_mv='../../data/eval_mv', fuse_encoder=True, gamma=0.5, gpus='0', iterations=10, load_iter=None, load_model_name=None, lr=0.00025, max_train_iters=10000, model_dir='model', num_crops=2, out_dir='output', patch=64, save_codes=True, save_model_name='gaze_model', save_out_img=True, schedule='50000,60000,70000,80000,90000', shrink=2, stack=True, train='../../data/new-data/train', train_mv='../../data/new-data/train_mv', v_compress=True, warp=True)

Creating loader for ../../data/new-data/train...
26594 images loaded.
	distance=1/2
Loader for 26594 images (6649 batches) created.
	Encoder fuse level: 1
	Decoder fuse level: 1
[TRAIN] Iter[184]; LR: 0.00025; Loss: 0.095473; Backprop: 0.0948 sec; Batch: 0.5003 sec
[TRAIN] Iter[185]; LR: 0.00025; Loss: 0.078800; Backprop: 0.0944 sec; Batch: 0.4995 sec
[TRAIN] Iter[186]; LR: 0.00025; Loss: 0.115092; Backprop: 0.0946 sec; Batch: 0.4995 sec
[TRAIN] Iter[187]; LR: 0.00025; Loss: 0.079941; Backprop: 0.0946 sec; Batch: 0.4994 sec
[TRAIN] Iter[188]; LR: 0.00025; Loss: 0.089196; Backprop: 0.0949 sec; Batch: 0.4998 sec
[TRAIN] Iter[189]; LR: 0.00025; Loss: 0.069833; Backprop: 0.0947 sec; Batch: 0.5011 sec
[TRAIN] Iter[190]; LR: 0.00025; Loss: 0.087227; Backprop: 0.0950 sec; Batch: 0.5012 sec
[TRAIN] Iter[191]; LR: 0.00025; Loss: 0.086193; Backprop: 0.0944 sec; Batch: 0.5001 sec
[TRAIN] Iter[192]; LR: 0.00025; Loss: 0.082098; Backprop: 0.0947 sec; Batch: 0.5008 sec
[TRAIN] Iter[193]; LR: 0.00025; Loss: 0.099232; Backprop: 0.0947 sec; Batch: 0.4995 sec
